iter	RMSE
0	0.4226079797
1	0.418143389
2	0.4137780615
3	0.4096987078
4	0.405821008
5	0.4019809812
6	0.3983147958
7	0.3948381358
8	0.3915250073
9	0.3883689221
10	0.3852787708
11	0.3823053669
12	0.3795383147
13	0.3768864607
14	0.3744189239
15	0.3719927674
16	0.3697347113
17	0.3675773961
18	0.3653855102
19	0.3633150201
20	0.3613997595
21	0.3594854399
22	0.3576690907
23	0.3559653762
24	0.3542799809
25	0.3527298757
26	0.3512201393
27	0.3497879597
28	0.3483410516
29	0.3470249279
30	0.3457566229
31	0.3445547431
32	0.343445158
33	0.3423053939
34	0.3412275206
35	0.3402297411
36	0.3392387963
37	0.3382604462
38	0.337358849
39	0.336522402
40	0.3356673048
41	0.3348651077
42	0.3340530895
43	0.3332973497
44	0.332639373
45	0.3319567132
46	0.3312964664
47	0.3306779379
48	0.3300351383
49	0.3294214747
50	0.3288682277
51	0.328339184
52	0.327804668
53	0.3272684028
54	0.3267542936
55	0.326278603
56	0.325840589
57	0.3254003283
58	0.3250157157
59	0.3245954717
60	0.3241923257
61	0.3237484829
62	0.3233530198
63	0.3229948209
64	0.3226305427
65	0.3222694716
66	0.3219074695
67	0.3215654505
68	0.3212507732
69	0.3209466358
70	0.3206930822
71	0.3204090489
72	0.3201564674
73	0.3199199946
74	0.3196886956
75	0.3194548685
76	0.3192357289
77	0.319041767
78	0.3187932179
79	0.3185891713
80	0.3183590979
81	0.3181576618
82	0.3179684525
83	0.3177957877
84	0.3175977274
85	0.3174157121
86	0.3172566879
87	0.317092111
88	0.3169500802
89	0.3167890411
90	0.3166501068
91	0.3165269765
92	0.3163957003
93	0.3162056253
94	0.3160869713
95	0.3159834883
96	0.3158156676
97	0.3157336786
98	0.3155719909
99	0.3154260414
100	0.315280807
101	0.3151770815
102	0.3150628564
103	0.3149511838
104	0.3148276781
105	0.3147254267
106	0.3146382743
107	0.3144999623
108	0.3143487109
109	0.3142059719
110	0.3141222194
111	0.3140030523
112	0.3139241439
113	0.3138311111
114	0.3137434762
115	0.313668847
116	0.3135336571
117	0.3134452725
118	0.313359318
119	0.3132602097
120	0.3131937202
121	0.3131130098
122	0.3130260566
123	0.3129390499
124	0.3128492107
125	0.3127355588
126	0.3126304805
127	0.3125389465
128	0.312444043
129	0.3123640948
130	0.3122939954
131	0.3122396113
132	0.3121591438
133	0.3121076407
134	0.3120624341
135	0.3119928966
136	0.3119243481
137	0.3118463059
138	0.3117587808
139	0.3116610198
140	0.3115949768
141	0.3114886462
142	0.3114163809
143	0.3113482428
144	0.3112804529
145	0.3112439795
146	0.3111872539
147	0.3110999345
148	0.3110344856
149	0.3109875942
150	0.3109020354
151	0.3108378437
152	0.3107956761
153	0.3107266928
154	0.3106479525
155	0.3105854327
156	0.3104635876
157	0.3104121605
158	0.3103619718
159	0.3103151658
160	0.3102273199
161	0.3101676462
162	0.3101242668
163	0.3100783876
164	0.3100309699
165	0.3099733547
166	0.309904906
167	0.3098465278
168	0.3097930542
169	0.3097423671
170	0.3097083507
171	0.3096531715
172	0.3096073431
173	0.3095442636
174	0.3094884968
175	0.3094267473
176	0.3093802452
177	0.3093543919
178	0.3093144109
179	0.3092471776
180	0.3092033049
181	0.3091518749
182	0.309118943
183	0.3090978474
184	0.3090355696
185	0.3089785186
186	0.308952274
187	0.3089187618
188	0.3088847331
189	0.3088243559
190	0.3087708091
191	0.3087231046
192	0.3087111608
193	0.3086684479
194	0.3086113998
195	0.3085770668
196	0.3085522521
197	0.3085217867
198	0.3084928526
199	0.3084712573
200	0.3084222604
201	0.3083768669
202	0.308344767
203	0.308307388
204	0.3082720986
205	0.3082405229
206	0.3082075524
207	0.3081675669
208	0.3081257657
209	0.3080947071
210	0.3080691726
211	0.3080200773
212	0.3079908351
213	0.3078980157
214	0.3078759887
215	0.3078387052
216	0.307809
217	0.3077498595
218	0.3076789401
219	0.3076354002
220	0.3075850114
221	0.3075642844
222	0.3075406488
223	0.3075130264
224	0.3074849272
225	0.3074519344
226	0.3074072529
227	0.307369799
228	0.3073183304
229	0.3072904573
230	0.3072672024
231	0.3072407601
232	0.3072234839
233	0.307201026
234	0.3071784386
235	0.3071384478
236	0.3070593994
237	0.3070390371
238	0.306997785
239	0.3069744591
240	0.3068609878
241	0.3068229529
242	0.3067949759
243	0.3067672562
244	0.3067462228
245	0.3067069377
246	0.3066729468
247	0.3066396264
248	0.3066112198
249	0.3065420094
250	0.3065258682
251	0.3065129942
252	0.3064874753
253	0.3064514583
254	0.306418995
255	0.3064000652
256	0.3063686775
257	0.3063395098
258	0.3063347714
259	0.3063098979
260	0.3063006028
261	0.3062807557
262	0.3062438293
263	0.3062263735
264	0.3061872562
265	0.3061698983
266	0.3061494584
267	0.3061309614
268	0.3060968682
269	0.3060453305
270	0.3060291675
271	0.3060134942
272	0.30599213
273	0.3059737355
274	0.305949723
275	0.3059491574
276	0.3059354242
277	0.3059020337
278	0.3058535449
279	0.3058291052
280	0.3058041336
281	0.3057664121
282	0.3057386043
283	0.3057194291
284	0.3057193121
285	0.3057004573
286	0.305684234
287	0.3056738401
288	0.3056443953
289	0.3056104425
290	0.3056042674
291	0.3055786601
292	0.3055780818
293	0.3055562024
294	0.3055223092
295	0.3054954064
296	0.3054773391
297	0.3054698731
298	0.3054455727
299	0.3054324925
300	0.3054107785
301	0.3054106971
302	0.3053673782
303	0.3053547034
304	0.3053439235
305	0.305300971
306	0.3052685167
307	0.3052433155
308	0.3052312331
309	0.3052083087
310	0.3051413478
311	0.3050658371
312	0.3050651642
313	0.3050501773
314	0.3050145191
315	0.3050139495
316	0.3049978165
317	0.3049788248
318	0.3049418913
319	0.3049320285
320	0.3049187782
321	0.304891014
322	0.3048482461
323	0.3048245717
324	0.3048232821
325	0.3048225593
326	0.3048172405
327	0.3048164816
328	0.3047955034
329	0.3047879609
330	0.3047874513
331	0.3047778028
332	0.3047437685
333	0.304664451
334	0.3046643631
335	0.3046334684
336	0.3046153636
337	0.3045888417
338	0.3045597566
339	0.3045592247
340	0.3045038608
341	0.3044932609
342	0.3044926373
343	0.3044741244
344	0.3044728435
345	0.304455735
346	0.3044487593
347	0.3044476753
348	0.3044469874
349	0.3044164454
350	0.3044090793
351	0.3043878259
352	0.3043597539
353	0.3043591741
354	0.3043153734
355	0.304296514
356	0.3042933563
357	0.3042927821
358	0.304292284
359	0.3042727771
360	0.3042420364
