iter	Passed	Remaining
0	58	644100
1	70	386385
2	79	291955
3	91	251491
4	99	219073
5	107	196629
6	116	182717
7	123	169669
8	132	161506
9	139	153031
10	146	146457
11	153	140537
12	158	134253
13	164	129323
14	170	124798
15	176	121212
16	182	118157
17	190	116225
18	198	114817
19	207	113735
20	213	111793
21	220	110169
22	229	109318
23	234	107334
24	242	106391
25	250	105820
26	256	104180
27	263	103178
28	269	102045
29	279	102363
30	286	101371
31	293	100595
32	299	99541
33	305	98631
34	315	98833
35	321	98007
36	330	97809
37	335	96925
38	342	96139
39	347	95215
40	354	94634
41	360	94109
42	366	93454
43	373	93106
44	379	92267
45	385	91841
46	393	91670
47	400	91424
48	408	91195
49	414	90679
50	419	90042
51	427	90003
52	434	89678
53	440	89374
54	446	88861
55	452	88381
56	458	88084
57	464	87612
58	471	87361
59	477	87129
60	484	86913
61	491	86729
62	498	86530
63	505	86438
64	513	86336
65	522	86581
66	531	86738
67	538	86637
68	546	86591
69	555	86771
70	564	86881
71	576	87425
72	584	87558
73	592	87524
74	598	87251
75	605	86990
76	612	86869
77	619	86785
78	629	87071
79	638	87189
80	645	86964
81	651	86776
82	657	86457
83	663	86177
84	671	86230
85	679	86206
86	685	85969
87	691	85769
88	698	85662
89	705	85530
90	711	85285
91	718	85152
92	723	84815
93	730	84699
94	735	84422
95	741	84245
96	749	84196
97	756	84154
98	762	84000
99	770	84034
100	779	84117
101	784	83793
102	791	83785
103	799	83814
104	806	83710
105	815	83773
106	820	83565
107	828	83582
108	837	83648
109	845	83726
110	853	83695
111	861	83754
112	870	83836
113	880	84115
114	889	84196
115	897	84189
116	904	84142
117	912	84150
118	918	84006
119	926	84012
120	932	83881
121	938	83652
122	943	83441
123	948	83233
124	954	83062
125	962	83080
126	970	83069
127	980	83303
128	988	83266
129	994	83164
130	1000	83042
131	1007	82959
132	1013	82842
133	1019	82689
134	1026	82614
135	1033	82586
136	1040	82477
137	1046	82352
138	1053	82297
139	1061	82340
140	1066	82131
141	1072	82045
142	1079	81946
143	1085	81851
144	1093	81841
145	1097	81581
146	1102	81434
147	1108	81310
148	1114	81147
149	1120	81067
150	1127	81001
151	1133	80881
152	1139	80796
153	1145	80677
