ID,Prediction
1,1
2,0
3,1
4,0
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,0
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,0
43,1
44,0
45,1
46,1
47,0
48,1
49,0
50,1
51,0
52,0
53,1
54,0
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,0
75,1
76,0
77,0
78,1
79,1
80,0
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,0
90,1
91,0
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,0
113,1
114,1
115,0
116,0
117,0
118,1
119,1
120,1
121,1
122,0
123,0
124,1
125,1
126,1
127,1
128,0
129,1
130,1
131,0
132,1
133,1
134,0
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,0
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,0
153,0
154,0
155,1
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,1
164,0
165,1
166,0
167,1
168,0
169,1
170,1
171,1
172,1
173,0
174,1
175,1
176,0
177,1
178,1
179,1
180,1
181,1
182,1
183,0
184,1
185,1
186,1
187,0
188,1
189,1
190,0
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,0
199,1
200,0
201,0
202,0
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,0
212,1
213,1
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,1
225,1
226,1
227,0
228,0
229,1
230,1
231,1
232,1
233,1
234,0
235,0
236,0
237,1
238,0
239,0
240,1
241,1
242,1
243,0
244,1
245,1
246,1
247,1
248,0
249,1
250,1
251,1
252,0
253,1
254,1
255,1
256,1
257,1
258,1
259,0
260,0
261,0
262,1
263,1
264,1
265,0
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,0
275,0
276,1
277,0
278,0
279,1
280,1
281,1
282,0
283,0
284,1
285,1
286,1
287,0
288,1
289,1
290,0
291,1
292,1
293,0
294,0
295,0
296,1
297,0
298,1
299,0
300,1
301,0
302,1
303,1
304,0
305,0
306,1
307,1
308,1
309,0
310,1
311,1
312,1
313,1
314,1
315,1
316,0
317,1
318,1
319,0
320,1
321,0
322,1
323,1
324,1
325,1
326,1
327,1
328,0
329,1
330,0
331,1
332,1
333,0
334,1
335,0
336,1
337,1
338,1
339,0
340,1
341,1
342,1
343,1
344,1
345,1
346,0
347,0
348,1
349,1
350,0
351,1
352,0
353,0
354,1
355,1
356,1
357,1
358,1
359,0
360,0
361,0
362,1
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,0
375,0
376,1
377,1
378,1
379,0
380,0
381,1
382,1
383,0
384,1
385,1
386,1
387,1
388,0
389,0
390,0
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,0
399,1
400,0
401,0
402,1
403,1
404,0
405,1
406,1
407,0
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,0
418,0
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,0
431,1
432,1
433,1
434,1
435,0
436,0
437,0
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,0
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,0
455,1
456,1
457,1
458,1
459,0
460,0
461,0
462,1
463,0
464,0
465,1
466,0
467,0
468,1
469,1
470,0
471,1
472,0
473,1
474,0
475,0
476,1
477,1
478,1
479,1
480,0
481,1
482,1
483,1
484,0
485,1
486,0
487,0
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,0
496,1
497,0
498,1
499,1
500,1
501,1
502,1
503,1
504,0
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,0
514,0
515,1
516,1
517,1
518,0
519,0
520,1
521,0
522,0
523,0
524,1
525,1
526,1
527,1
528,1
529,1
530,0
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,0
544,0
545,0
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,0
558,1
559,1
560,0
561,1
562,1
563,1
564,1
565,1
566,0
567,1
568,1
569,1
570,1
571,1
572,1
573,0
574,1
575,1
576,0
577,0
578,1
579,0
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,0
590,1
591,0
592,1
593,1
594,1
595,1
596,0
597,0
598,0
599,0
600,1
601,0
602,1
603,1
604,1
605,1
606,1
607,0
608,1
609,1
610,1
611,1
612,0
613,1
614,1
615,1
616,1
617,1
618,0
619,1
620,1
621,1
622,1
623,0
624,1
625,1
626,0
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,0
637,1
638,1
639,0
640,1
641,0
642,1
643,1
644,1
645,1
646,1
647,1
648,0
649,1
650,1
651,1
652,0
653,1
654,1
655,1
656,1
657,0
658,1
659,0
660,1
661,1
662,1
663,0
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,0
675,1
676,1
677,1
678,0
679,1
680,1
681,1
682,0
683,1
684,0
685,0
686,1
687,0
688,1
689,1
690,1
691,1
692,0
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,0
704,0
705,1
706,0
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,0
715,1
716,0
717,0
718,0
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,0
730,1
731,0
732,0
733,1
734,0
735,1
736,1
737,0
738,1
739,1
740,1
741,0
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,0
757,1
758,1
759,0
760,1
761,1
762,0
763,1
764,0
765,1
766,1
767,1
768,1
769,0
770,1
771,1
772,1
773,0
774,0
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,0
783,1
784,1
785,0
786,1
787,1
788,1
789,0
790,0
791,1
792,1
793,1
794,1
795,0
796,1
797,1
798,0
799,1
800,0
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,0
820,1
821,1
822,1
823,1
824,1
825,0
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,0
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,1
